"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"138","Thank you Brian France, Bill Elliott, @chaseelliott, @DavidRagan, &amp; @RyanJNewman! #NASCAR #Trump2016 #VoteTrump
https://t.co/6UDcvm1GB2",FALSE,9411,NA,2016-03-01 00:39:29,FALSE,NA,"704466049912143872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",3419,FALSE,FALSE,NA,NA
"139","Phony Rubio commercial. I could have settled, but won't out of principle! See student surveys. https://t.co/KKHiBH554d",FALSE,8391,NA,2016-02-29 22:59:29,FALSE,NA,"704440884029493248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",2952,FALSE,FALSE,NA,NA
"140","Trump University has a 98% approval rating. I could have settled but won't out of principle!",FALSE,10241,NA,2016-02-29 22:48:15,FALSE,NA,"704438057202819072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",3203,FALSE,FALSE,NA,NA
"141","Thank you Virginia! 15,000 amazing supporters! Everyone get out and #VoteTrump tomorrow! https://t.co/Zg0OhOdtkV",FALSE,14516,NA,2016-02-29 19:46:58,FALSE,NA,"704392435829493764",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5202,FALSE,FALSE,NA,NA
"142","My wife @MELANIATRUMP will be joining @andersoncooper @AC360 tonight at 8pmE on @CNN. Enjoy! https://t.co/aTIXHgK32N",FALSE,10726,NA,2016-02-29 18:57:13,FALSE,NA,"704379918222696449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",3289,FALSE,FALSE,NA,NA
"143","Governor Alejandro García Padilla said presidential hopeful Sen. Marco Rubio “is no friend of Puerto Rico."" https://t.co/I6mhYnAcZ3",FALSE,7458,NA,2016-02-29 16:29:11,FALSE,NA,"704342660933427201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",3142,FALSE,FALSE,NA,NA
"144","#Trump2016 #TrumpInstagram: https://t.co/tzHtny48nQ https://t.co/BpKZcISeKi",FALSE,11895,NA,2016-02-29 16:16:27,FALSE,NA,"704339457974132736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5409,FALSE,FALSE,NA,NA
"145","I am self funding my campaign and only work for YOU, the American people!
#Trump2016 Video: https://t.co/8hDC0YUobe https://t.co/o0EB479uEF",FALSE,15468,NA,2016-02-29 15:49:03,FALSE,NA,"704332561296855040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5657,FALSE,FALSE,NA,NA
"146","""Hillary could lose to Trump in Democratic New York""
#MakeAmericaGreatAgain #Trump2016
https://t.co/fQR48CVIbt",FALSE,10578,NA,2016-02-29 15:17:37,FALSE,NA,"704324651384762368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",4094,FALSE,FALSE,NA,NA
"147","Join me in Columbus, Ohio tomorrow!
#MakeAmericaGreatAgain #Trump2016
https://t.co/yFhZd55GD9",FALSE,7420,NA,2016-02-29 14:28:43,FALSE,NA,"704312346706124800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",2591,FALSE,FALSE,NA,NA
"148","Thank you America! Get out &amp; VOTE tomorrow! #Trump2016 #MakeAmericaGreatAgain https://t.co/ypLELkprpu https://t.co/XKU8R5b8Lo",FALSE,10447,NA,2016-02-29 12:43:13,FALSE,NA,"704285794643668992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",3962,FALSE,FALSE,NA,NA
"149","My sons, Don and Eric, are on @foxandfriends now 7:35. Great kids, enjoy!",FALSE,7901,NA,2016-02-29 12:36:08,FALSE,NA,"704284013461180416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",1593,FALSE,FALSE,NA,NA
